Name,frugivoro,carotenoide,Musse
Poecilotriccus_fumifrons,0,1,3
Poecilotriccus_luluae,0,1,3
Poecilotriccus_plumbeiceps,0,1,3
Poecilotriccus_russatus,0,1,3
Poecilotriccus_pulchellus,0,1,3
Poecilotriccus_albifacies,0,1,3
Poecilotriccus_capitalis,0,1,3
Poecilotriccus_ruficeps,0,1,3
Poecilotriccus_calopterus,0,1,3
Todirostrum_pictum,0,1,3
Todirostrum_poliocephalum,0,1,3
Todirostrum_cinereum,1,1,2
Todirostrum_viridanum,0,1,3
Todirostrum_chrysocrotaphum,0,1,3
Todirostrum_nigriceps,0,1,3
Todirostrum_maculatum,0,1,3
Myiornis_atricapillus,0,1,3
Myiornis_albiventris,0,1,3
Myiornis_ecaudatus,0,1,3
Myiornis_auricularis,0,1,3
Lophotriccus_eulophotes,0,1,3
Lophotriccus_galeatus,0,1,3
Lophotriccus_pileatus,0,1,3
Lophotriccus_vitiosus,0,1,3
Oncostoma_cinereigulare,1,1,2
Oncostoma_olivaceum,1,1,2
Hemitriccus_granadensis,0,1,3
Hemitriccus_minor,0,1,3
Hemitriccus_kaempferi,0,1,3
Atalotriccus_pilaris,0,1,3
Hemitriccus_griseipectus,0,1,3
Hemitriccus_mirandae,0,1,3
Hemitriccus_furcatus,0,1,3
Hemitriccus_spodiops,0,1,3
Hemitriccus_diops,0,1,3
Hemitriccus_flammulatus,0,1,3
Hemitriccus_orbitatus,0,1,3
Hemitriccus_josephinae,0,1,3
Hemitriccus_rufigularis,0,1,3
Hemitriccus_margaritaceiventer,0,1,3
Hemitriccus_nidipendulus,0,1,3
Hemitriccus_iohannis,0,1,3
Hemitriccus_cinnamomeipectus,0,1,3
Hemitriccus_striaticollis,0,1,3
Hemitriccus_obsoletus,0,1,3
Hemitriccus_minimus,0,1,3
Cnipodectes_superrufus,0,0,0
Cnipodectes_subbrunneus,0,0,0
Taeniotriccus_andrei,0,1,3
Leptopogon_taczanowskii,1,1,2
Leptopogon_superciliaris,1,1,2
Leptopogon_amaurocephalus,1,1,2
Leptopogon_rufipectus,1,1,2
Mionectes_macconnelli,1,1,2
Mionectes_rufiventris,1,1,2
Mionectes_oleagineus,1,1,2
Mionectes_olivaceus,1,1,2
Mionectes_striaticollis,1,1,2
Phylloscartes_oustaleti,0,1,3
Phylloscartes_parkeri,0,1,3
Phylloscartes_paulista,0,1,3
Phylloscartes_difficilis,0,1,3
Phylloscartes_gualaquizae,0,1,3
Phylloscartes_roquettei,0,1,3
Phylloscartes_flavovirens,0,1,3
Phylloscartes_ventralis,0,1,3
Phylloscartes_beckeri,0,1,3
Phylloscartes_nigrifrons,1,1,2
Phylloscartes_ceciliae,0,1,3
Phylloscartes_eximius,0,1,3
Phylloscartes_poecilotis,0,1,3
Phylloscartes_flaviventris,0,1,3
Phylloscartes_sylviolus,0,1,3
Phylloscartes_kronei,1,1,2
Phylloscartes_orbitalis,0,1,3
Phylloscartes_ophthalmicus,0,1,3
Phylloscartes_superciliaris,1,1,2
Phylloscartes_virescens,0,1,3
Corythopis_torquatus,0,0,0
Corythopis_delalandi,0,0,0
Pseudotriccus_pelzelni,0,0,0
Pseudotriccus_simplex,0,0,0
Pseudotriccus_ruficeps,0,0,0
Platyrinchus_leucoryphus,0,1,3
Platyrinchus_coronatus,0,1,3
Platyrinchus_platyrhynchos,0,0,0
Platyrinchus_saturatus,0,1,3
Platyrinchus_mystaceus,0,1,3
Platyrinchus_cancrominus,1,1,2
Neopipo_cinnamomea,0,0,0
Polioxolmis_rufipennis,0,0,0
Cnemarchus_erythropygius,0,0,0
Myiotheretes_pernix,0,0,0
Myiotheretes_striaticollis,0,0,0
Myiotheretes_fumigatus,0,0,0
Myiotheretes_fuscorufus,0,0,0
Xolmis_cinereus,0,0,0
Xolmis_dominicanus,0,0,0
Xolmis_coronatus,0,0,0
Xolmis_rubetra,0,0,0
Neoxolmis_rufiventris,0,0,0
Agriornis_albicauda,0,0,0
Agriornis_montanus,0,0,0
Agriornis_micropterus,0,0,0
Agriornis_lividus,0,0,0
Agriornis_murinus,0,0,0
Xolmis_pyrope,1,0,1
Muscipipra_vetula,0,0,0
Xolmis_irupero,0,0,0
Knipolegus_striaticeps,0,0,0
Knipolegus_cyanirostris,0,0,0
Knipolegus_aterrimus,0,0,0
Knipolegus_franciscanus,0,0,0
Knipolegus_poecilocercus,0,0,0
Knipolegus_lophotes,1,0,1
Knipolegus_nigerrimus,0,0,0
Knipolegus_orenocensis,0,0,0
Knipolegus_hudsoni,0,0,0
Knipolegus_poecilurus,0,0,0
Hymenops_perspicillatus,0,0,0
Lessonia_oreas,0,0,0
Lessonia_rufa,0,0,0
Satrapa_icterophrys,0,1,3
Muscisaxicola_albilora,0,0,0
Muscisaxicola_frontalis,1,0,1
Muscisaxicola_capistratus,0,0,0
Muscisaxicola_maclovianus,0,0,0
Muscisaxicola_alpinus,0,0,0
Muscisaxicola_juninensis,0,0,0
Muscisaxicola_cinereus,0,0,0
Muscisaxicola_albifrons,0,0,0
Muscisaxicola_flavinucha,0,0,0
Muscisaxicola_rufivertex,0,0,0
Muscisaxicola_griseus,0,0,0
Muscisaxicola_maculirostris,0,0,0
Muscisaxicola_fluviatilis,0,0,0
Myiophobus_fasciatus,1,1,2
Myiophobus_cryptoxanthus,1,1,2
Lathrotriccus_griseipectus,0,0,0
Lathrotriccus_euleri,0,1,3
Aphanotriccus_capitalis,0,1,3
Aphanotriccus_audax,0,1,3
Xenotriccus_mexicanus,0,1,3
Xenotriccus_callizonus,0,1,3
Cnemotriccus_fuscatus,0,0,0
Ochthornis_littoralis,0,0,0
Mitrephanes_olivaceus,0,1,3
Mitrephanes_phaeocercus,0,1,3
Contopus_cinereus,0,1,3
Phelpsia_inornatus,1,1,2
Contopus_sordidulus,1,1,2
Contopus_pallidus,0,1,3
Contopus_latirostris,0,1,3
Contopus_virens,1,1,2
Contopus_nigrescens,0,0,0
Contopus_lugubris,0,1,3
Contopus_caribaeus,1,1,2
Contopus_cooperi,0,1,3
Contopus_fumigatus,0,0,0
Empidonax_virescens,1,1,2
Empidonax_fulvifrons,0,0,0
Empidonax_atriceps,0,0,0
Empidonax_affinis,0,1,3
Empidonax_oberholseri,0,1,3
Empidonax_hammondii,0,1,3
Empidonax_wrightii,1,1,2
Empidonax_minimus,1,1,2
Empidonax_traillii,1,1,2
Empidonax_alnorum,1,1,2
Empidonax_albigularis,1,0,1
Empidonax_flaviventris,1,1,2
Empidonax_difficilis,1,1,2
Empidonax_occidentalis,1,1,2
Empidonax_flavescens,1,1,2
Sayornis_nigricans,0,1,3
Sayornis_phoebe,1,1,2
Sayornis_saya,1,1,2
Contopus_albogularis,0,0,0
Contopus_punensis,0,1,3
Contopus_hispaniolensis,1,1,2
Contopus_pertinax,1,1,2
Conopias_parvus,1,1,2
Conopias_albovittatus,1,1,2
Conopias_cinchoneti,1,1,2
Conopias_trivirgatus,0,1,3
Contopus_ochraceus,0,1,3
Ochthoeca_jelskii,0,1,3
Ochthoeca_frontalis,0,1,3
Ochthoeca_diadema,0,1,3
Ochthoeca_thoracica,0,0,0
Ochthoeca_nigrita,0,0,0
Tumbezia_salvini,0,1,3
Ochthoeca_rufipectoralis,0,0,0
Ochthoeca_cinnamomeiventris,0,0,0
Ochthoeca_oenanthoides,0,0,0
Ochthoeca_leucophrys,0,0,0
Ochthoeca_fumicolor,0,0,0
Ochthoeca_pulchella,0,1,3
Myiophobus_phoenicomitra,0,1,3
Myiophobus_flavicans,0,1,3
Myiophobus_roraimae,0,1,3
Colorhamphus_parvirostris,0,0,0
Myiophobus_inornatus,0,1,3
Arundinicola_leucocephala,0,0,0
Gubernetes_yetapa,0,0,0
Alectrurus_risora,0,0,0
Alectrurus_tricolor,0,0,0
Pyrocephalus_rubinus,0,1,3
Fluvicola_albiventer,0,0,0
Fluvicola_pica,0,0,0
Sublegatus_modestus,0,1,3
Sublegatus_arenarum,1,1,2
Sublegatus_obscurior,1,1,2
Fluvicola_nengeta,0,0,0
Colonia_colonus,0,0,0
Ramphotrigon_megacephalum,0,1,3
Deltarhynchus_flammulatus,0,1,3
Ramphotrigon_ruficauda,1,1,2
Ramphotrigon_fuscicauda,0,1,3
Attila_bolivianus,1,0,1
Attila_rufus,1,0,1
Attila_torridus,1,0,1
Attila_spadiceus,1,1,2
Attila_citriniventris,1,0,1
Attila_cinnamomeus,1,0,1
Myiozetetes_granadensis,1,1,2
Myiozetetes_similis,1,1,2
Myiozetetes_luteiventris,1,1,2
Myiozetetes_cayanensis,1,1,2
Megarynchus_pitangua,1,1,2
Tyrannopsis_sulphurea,1,1,2
Tyrannus_caudifasciatus,1,1,2
Tyrannus_niveigularis,1,1,2
Tyrannus_tyrannus,1,0,1
Tyrannus_couchii,1,1,2
Tyrannus_cubensis,1,1,2
Tyrannus_melancholicus,1,1,2
Tyrannus_dominicensis,1,0,1
Tyrannus_savana,1,1,2
Tyrannus_vociferans,1,1,2
Tyrannus_forficatus,1,1,2
Tyrannus_verticalis,1,1,2
Tyrannus_albogularis,0,1,3
Empidonomus_aurantioatrocristatus,1,1,2
Empidonomus_varius,1,1,2
Myiodynastes_hemichrysus,1,1,2
Myiodynastes_chrysocephalus,1,1,2
Myiodynastes_bairdii,1,1,2
Myiodynastes_luteiventris,1,1,2
Myiodynastes_maculatus,1,1,2
Machetornis_rixosa,0,1,3
Pitangus_sulphuratus,1,1,2
Pitangus_lictor,0,1,3
Rhytipterna_simplex,1,0,1
Rhytipterna_holerythra,1,0,1
Rhytipterna_immunda,1,0,1
Myiarchus_validus,1,1,2
Myiarchus_antillarum,1,0,1
Myiarchus_phaeocephalus,0,1,3
Myiarchus_venezuelensis,1,1,2
Myiarchus_tyrannulus,1,1,2
Myiarchus_cinerascens,1,1,2
Myiarchus_crinitus,1,1,2
Myiarchus_tuberculifer,1,1,2
Myiarchus_panamensis,1,1,2
Myiarchus_oberi,1,1,2
Myiarchus_apicalis,1,1,2
Myiarchus_cephalotes,0,1,3
Myiarchus_swainsoni,1,1,2
Myiarchus_barbirostris,0,1,3
Myiarchus_stolidus,1,1,2
Myiarchus_sagrae,1,0,1
Myiarchus_nuttingi,1,1,2
Myiarchus_ferox,1,1,2
Myiarchus_magnirostris,0,1,3
Sirystes_sibilator,1,0,1
Sirystes_albogriseus,0,0,0
Legatus_leucophaius,1,1,2
Muscigralla_brevicauda,0,0,0
Zimmerius_improbus,1,1,2
Zimmerius_acer,1,1,2
Zimmerius_albigularis,1,1,2
Zimmerius_vilissimus,1,1,2
Zimmerius_villarejoi,1,0,1
Zimmerius_chrysops,1,1,2
Zimmerius_viridiflavus,1,1,2
Zimmerius_gracilipes,1,1,2
Zimmerius_cinereicapilla,1,1,2
Zimmerius_bolivianus,1,1,2
Phyllomyias_burmeisteri,1,1,2
Phyllomyias_uropygialis,1,1,2
Ornithion_brunneicapillus,0,1,3
Ornithion_inerme,0,1,3
Ornithion_semiflavum,0,1,3
Camptostoma_obsoletum,1,1,2
Camptostoma_imberbe,1,0,1
