carotenoide,JETZ,IOC,Name,HBW,Familia,frugivoro
1,Procnias tricarunculatus,Procnias tricarunculatus,Procnias_tricarunculatus,,Cotingidae,1
1,Procnias albus,Procnias albus,Procnias_albus,,Cotingidae,1
1,Calyptura cristata,Calyptura cristata,Calyptura_cristata,,Tyrannidae,1
1,Porphyrolaema porphyrolaema,Porphyrolaema porphyrolaema,Porphyrolaema_porphyrolaema,,Cotingidae,1
1,Xipholena punicea,Xipholena punicea,Xipholena_punicea,,Cotingidae,1
1,Xipholena atropurpurea,Xipholena atropurpurea,Xipholena_atropurpurea,,Cotingidae,1
1,Xipholena lamellipennis,Xipholena lamellipennis,Xipholena_lamellipennis,,Cotingidae,1
0,Carpodectes nitidus,Carpodectes nitidus,Carpodectes_nitidus,,Cotingidae,1
0,Carpodectes hopkei,Carpodectes hopkei,Carpodectes_hopkei,,Cotingidae,1
0,Carpodectes antoniae,Carpodectes antoniae,Carpodectes_antoniae,,Cotingidae,1
0,Gymnoderus foetidus,Gymnoderus foetidus,Gymnoderus_foetidus,,Cotingidae,1
0,Conioptilon mcilhennyi,Conioptilon mcilhennyi,Conioptilon_mcilhennyi,,Cotingidae,1
1,Tijuca condita,Tijuca condita,Tijuca_condita,Lipaugus conditus,Cotingidae,1
1,Tijuca atra,Tijuca atra,Tijuca_atra,,Cotingidae,1
0,Lipaugus unirufus,Lipaugus unirufus,Lipaugus_unirufus,,Cotingidae,1
0,Lipaugus uropygialis,Lipaugus uropygialis,Lipaugus_uropygialis,,Cotingidae,1
0,Lipaugus weberi,Lipaugus weberi,Lipaugus_weberi,,Cotingidae,1
0,Lipaugus vociferans,Lipaugus vociferans,Lipaugus_vociferans,,Cotingidae,1
1,Lipaugus streptophorus,Lipaugus streptophorus,Lipaugus_streptophorus,,Cotingidae,1
0,Lipaugus fuscocinereus,Lipaugus fuscocinereus,Lipaugus_fuscocinereus,,Cotingidae,1
0,Lipaugus lanioides,Lipaugus lanioides,Lipaugus_lanioides,,Cotingidae,1
1,Cotinga nattererii,Cotinga nattererii,Cotinga_nattererii,,Cotingidae,1
1,Cotinga ridgwayi,Cotinga ridgwayi,Cotinga_ridgwayi,,Cotingidae,1
1,Cotinga amabilis,Cotinga amabilis,Cotinga_amabilis,,Cotingidae,1
1,Cotinga maculata,Cotinga maculata,Cotinga_maculata,,Cotingidae,1
1,Cotinga cotinga,Cotinga cotinga,Cotinga_cotinga,,Cotingidae,1
1,Cotinga maynana,Cotinga maynana,Cotinga_maynana,,Cotingidae,1
1,Cotinga cayana,Cotinga cayana,Cotinga_cayana,,Cotingidae,1
1,Querula purpurata,Querula purpurata,Querula_purpurata,,Cotingidae,1
0,Perissocephalus tricolor,Perissocephalus tricolor,Perissocephalus_tricolor,,Cotingidae,1
0,Cephalopterus penduliger,Cephalopterus penduliger,Cephalopterus_penduliger,,Cotingidae,1
0,Cephalopterus ornatus,Cephalopterus ornatus,Cephalopterus_ornatus,,Cotingidae,1
0,Cephalopterus glabricollis,Cephalopterus glabricollis,Cephalopterus_glabricollis,,Cotingidae,1
1,Pyroderus scutatus,Pyroderus scutatus,Pyroderus_scutatus,,Cotingidae,1
1,Haematoderus militaris,Haematoderus militaris,Haematoderus_militaris,,Cotingidae,1
1,Phibalura flavirostris,Phibalura flavirostris,Phibalura_flavirostris,,Incertae Sedis 1,1
1,Snowornis subalaris,Snowornis subalaris,Snowornis_subalaris,,Cotingidae,1
1,Snowornis cryptolophus,Snowornis cryptolophus,Snowornis_cryptolophus,,Cotingidae,1
0,Zaratornis stresemanni,Zaratornis stresemanni,Zaratornis_stresemanni,,Cotingidae,1
1,Ampelion rubrocristatus,Ampelion rubrocristatus,Ampelion_rubrocristatus,,Cotingidae,1
1,Ampelion rufaxilla,Ampelion rufaxilla,Ampelion_rufaxilla,,Cotingidae,1
0,Doliornis sclateri,Doliornis sclateri,Doliornis_sclateri,,Cotingidae,1
0,Doliornis remseni,Doliornis remseni,Doliornis_remseni,,Cotingidae,1
0,Phytotoma raimondii,Phytotoma raimondii,Phytotoma_raimondii,,Cotingidae,1
0,Phytotoma rutila,Phytotoma rutila,Phytotoma_rutila,,Cotingidae,1
0,Phytotoma rara,Phytotoma rara,Phytotoma_rara,,Cotingidae,1
1,Xenopipo flavicapilla,Xenopipo flavicapilla,Xenopipo_flavicapilla,,Pipridae,1
1,Xenopipo atronitens,Xenopipo atronitens,Xenopipo_atronitens,,Pipridae,1
1,Xenopipo uniformis,Xenopipo uniformis,Xenopipo_uniformis,,Pipridae,1
1,Xenopipo holochlora,Xenopipo holochlora,Xenopipo_holochlora,,Pipridae,1
1,Masius chrysopterus,Masius chrysopterus,Masius_chrysopterus,,Pipridae,1
1,Corapipo gutturalis,Corapipo gutturalis,Corapipo_gutturalis,,Pipridae,1
1,Corapipo leucorrhoa,Corapipo leucorrhoa,Corapipo_leucorrhoa,,Pipridae,1
1,Corapipo altera,Corapipo altera,Corapipo_altera,,Pipridae,1
1,Ilicura militaris,Ilicura militaris,Ilicura_militaris,,Pipridae,1
1,Chiroxiphia caudata,Chiroxiphia caudata,Chiroxiphia_caudata,,Pipridae,1
1,Chiroxiphia pareola,Chiroxiphia pareola,Chiroxiphia_pareola,,Pipridae,1
