Todirostrum_cinereum	2
Todirostrum_viridanum	3
Todirostrum_poliocephalum	3
Myiornis_ecaudatus	3
Myiornis_albiventris	3
Myiornis_atricapillus	3
Myiornis_auricularis	3
Hemitriccus_furcatus	3
Hemitriccus_granadensis	3
Hemitriccus_diops	3
Hemitriccus_cinnamomeipectus	3
Oncostoma_cinereigulare	2
Oncostoma_olivaceum	2
Hemitriccus_obsoletus	3
Hemitriccus_minor	3
Hemitriccus_mirandae	3
Lophotriccus_pileatus	3
Lophotriccus_vitiosus	3
Lophotriccus_eulophotes	3
Lophotriccus_galeatus	3
Atalotriccus_pilaris	3
Hemitriccus_orbitatus	3
Hemitriccus_spodiops	3
Hemitriccus_griseipectus	3
Hemitriccus_josephinae	3
Hemitriccus_flammulatus	3
Hemitriccus_minimus	3
Hemitriccus_rufigularis	3
Hemitriccus_iohannis	3
Hemitriccus_margaritaceiventer	3
Hemitriccus_striaticollis	3
Hemitriccus_nidipendulus	3
Hemitriccus_kaempferi	3
Cnipodectes_superrufus	0
Cnipodectes_subbrunneus	0
Taeniotriccus_andrei	3
Leptopogon_amaurocephalus	2
Leptopogon_rufipectus	2
Leptopogon_taczanowskii	2
Leptopogon_superciliaris	2
Mionectes_oleagineus	2
Mionectes_rufiventris	2
Mionectes_macconnelli	2
Mionectes_olivaceus	2
Mionectes_striaticollis	2
Phylloscartes_flaviventris	3
Phylloscartes_flavovirens	3
Phylloscartes_roquettei	3
Phylloscartes_virescens	3
Phylloscartes_paulista	3
Phylloscartes_sylviolus	3
Phylloscartes_superciliaris	2
Phylloscartes_poecilotis	3
Phylloscartes_gualaquizae	3
Phylloscartes_ophthalmicus	3
Phylloscartes_nigrifrons	2
Phylloscartes_ventralis	3
Phylloscartes_beckeri	3
Phylloscartes_parkeri	3
Phylloscartes_oustaleti	3
Phylloscartes_eximius	3
Phylloscartes_orbitalis	3
Phylloscartes_difficilis	3
Phylloscartes_ceciliae	3
Phylloscartes_kronei	2
Corythopis_torquatus	0
Corythopis_delalandi	0
Pseudotriccus_pelzelni	0
Pseudotriccus_simplex	0
Pseudotriccus_ruficeps	0
Platyrinchus_platyrhynchos	0
Platyrinchus_leucoryphus	3
Platyrinchus_coronatus	3
Platyrinchus_saturatus	3
Platyrinchus_mystaceus	3
Platyrinchus_cancrominus	2
Neopipo_cinnamomea	0
Hirundinea_ferruginea	0
Pyrrhomyias_cinnamomeus	2
Myiophobus_pulcher	3
Myiophobus_ochraceiventris	2
Myiophobus_lintoni	2
Suiriri_islerorum	2
Suiriri_suiriri	2
Nesotriccus_ridgwayi	2
Phyllomyias_griseiceps	2
Phyllomyias_fasciatus	2
Phyllomyias_griseocapilla	2
Phaeomyias_tumbezana	1
Phaeomyias_murina	2
Capsiempis_flaveola	2
Stigmatura_napensis	3
Pseudelaenia_leucospodia	0
Mecocerculus_leucophrys	2
Culicivora_caudacuta	0
Anairetes_fernandezianus	0
Anairetes_parulus	3
Anairetes_flavirostris	3
Anairetes_agilis	3
Anairetes_nigrocristatus	0
Anairetes_reguloides	0
Anairetes_agraphia	0
Serpophaga_hypoleuca	0
Serpophaga_subcristata	3
Serpophaga_munda	3
Polystictus_pectoralis	0
Polystictus_superciliaris	0
Serpophaga_nigricans	3
Serpophaga_cinerea	3
Pseudocolopteryx_sclateri	3
Pseudocolopteryx_flaviventris	3
Pseudocolopteryx_acutipennis	3
Tyrannulus_elatus	2
Myiopagis_cotta	2
Myiopagis_viridicata	2
Myiopagis_flavivertex	3
Myiopagis_gaimardii	2
Myiopagis_caniceps	2
