Iteration	Posterior	Likelihood	Prior	alpha	beta	num_events[1]	num_events[2]	rate_pr[1]	rate_pr[2]	root_frequencies[1]	root_frequencies[2]
51	-4.00685	-7.46892	3.46207	0.003854208	0.0009913873	10.9505	0.345044	29.8873	948.517	0.719782	0.280218
52	-5.12643	-7.27994	2.15351	0.003854208	0.0009913873	16.3816	0.14614	19.9785	2239.49	0.9677	0.0323001
53	-5.74861	-8.29765	2.54904	0.003854208	0.0009913873	16.3816	0.275498	19.9785	1187.96	0.0482996	0.9517
54	-2.07809	-7.33342	5.25533	0.003854208	0.0009913873	2.98046	0.331454	109.809	987.409	0.892728	0.107272
55	-2.70113	-7.52191	4.82078	0.003854208	0.0009913873	3.81418	0.617168	85.8062	530.294	0.658269	0.341731
56	-2.6919	-7.90617	5.21427	0.003854208	0.0009913873	1.00648	0.970972	325.175	337.065	0.297641	0.702359
57	-2.11118	-7.51027	5.39909	0.003854208	0.0009913873	1.00648	0.746553	325.175	438.389	0.671501	0.328499
58	-2.93875	-8.21176	5.27301	0.003854208	0.0009913873	1.51724	0.849101	215.707	385.444	0.0949722	0.905028
59	-3.27551	-8.17648	4.90097	0.003854208	0.0009913873	0.777541	1.27811	420.917	256.066	0.115331	0.884669
60	-3.11996	-7.58438	4.46443	0.003854208	0.0009913873	0.777541	2.01589	420.917	162.351	0.589814	0.410186
61	-3.88309	-7.64611	3.76302	0.003854208	0.0009913873	1.2525	3.96531	261.302	82.536	0.526248	0.473752
62	-3.19026	-7.34772	4.15746	0.003854208	0.0009913873	2.00135	2.49708	163.53	131.065	0.873352	0.126648
63	-4.25888	-7.64635	3.38747	0.003854208	0.0009913873	1.08999	5.21968	300.261	62.7013	0.526012	0.473988
64	-6.34062	-7.41869	1.07807	0.003854208	0.0009913873	0.929361	16.8047	352.156	19.4755	0.78118	0.21882
65	-6.9984	-7.76909	0.770691	0.003854208	0.0009913873	3.77598	14.6132	86.6743	22.3962	0.410723	0.589277
66	-3.8347	-8.38399	4.54929	0.003854208	0.0009913873	3.2208	1.15958	101.615	282.241	0.00525655	0.994743
67	-2.8285	-7.267	4.43851	0.003854208	0.0009913873	4.30385	0.912149	76.0437	358.802	0.986447	0.0135532
68	-2.49198	-7.267	4.77502	0.003854208	0.0009913873	2.95391	0.963469	110.796	339.69	0.986447	0.0135532
69	-3.18375	-7.26708	4.08332	0.003854208	0.0009913873	7.64039	0.392262	42.8356	834.343	0.986343	0.0136571
70	-3.30571	-7.35025	4.04453	0.003854208	0.0009913873	7.60802	0.461754	43.0178	708.777	0.869951	0.130049
71	-5.25405	-8.07138	2.81732	0.003854208	0.0009913873	14.3783	0.450472	22.7621	726.528	0.180431	0.819569
72	-2.88241	-7.65815	4.77575	0.003854208	0.0009913873	4.14144	0.566301	79.0257	577.927	0.514299	0.485701
73	-4.12927	-7.46825	3.33898	0.003854208	0.0009913873	11.6599	0.302637	28.0689	1081.43	0.720581	0.279419
74	-3.35101	-7.46751	4.11649	0.003854208	0.0009913873	3.47524	1.72148	94.1748	190.115	0.721464	0.278536
75	-3.46193	-7.53424	4.07231	0.003854208	0.0009913873	2.97941	2.06965	109.847	158.134	0.644412	0.355588
76	-4.59555	-7.49071	2.89516	0.003854208	0.0009913873	2.26901	6.13004	144.239	53.3896	0.694095	0.305905
77	-6.92097	-8.0296	1.10863	0.003854208	0.0009913873	6.92698	8.63835	47.2472	37.8869	0.208264	0.791736
78	-5.07656	-7.6748	2.59824	0.003854208	0.0009913873	5.55067	4.04437	58.9623	80.9225	0.498017	0.501983
79	-5.44573	-8.29149	2.84575	0.003854208	0.0009913873	5.19407	3.57136	63.0105	91.6404	0.0515181	0.948482
80	-3.1684	-7.38624	4.21783	0.003854208	0.0009913873	3.04006	1.76382	107.656	185.552	0.822509	0.177491
81	-5.46569	-7.4574	1.99171	0.003854208	0.0009913873	7.07486	4.88959	46.2597	66.9341	0.733585	0.266415
82	-2.97462	-7.45332	4.4787	0.003854208	0.0009913873	1.66777	2.01503	196.239	162.42	0.738522	0.261478
83	-3.18088	-7.34058	4.1597	0.003854208	0.0009913873	1.8297	2.59984	178.871	125.885	0.882987	0.117013
84	-3.74498	-7.27557	3.5306	0.003854208	0.0009913873	2.40901	3.80512	135.857	86.0106	0.974001	0.0259995
85	-4.58699	-7.26115	2.67416	0.003854208	0.0009913873	1.46172	7.97073	223.902	41.0603	0.995009	0.00499052
86	-4.49312	-8.06917	3.57605	0.003854208	0.0009913873	4.29489	2.33358	76.2022	140.248	0.181874	0.818126
87	-5.85327	-8.03251	2.17924	0.003854208	0.0009913873	17.2113	0.677415	19.0155	483.132	0.20629	0.79371
88	-8.71948	-7.47977	-1.23971	0.003854208	0.0009913873	44.6574	0.264589	7.32869	1236.94	0.706923	0.293077
89	-8.64659	-7.31595	-1.33063	0.003854208	0.0009913873	44.6574	0.51029	7.32869	641.362	0.916773	0.0832273
90	-6.01217	-8.05402	2.04185	0.003854208	0.0009913873	19.7114	0.366737	16.6037	892.413	0.191853	0.808147
91	-2.35693	-7.75909	5.40216	0.003854208	0.0009913873	2.43058	0.263318	134.651	1242.91	0.4196	0.5804
92	-2.85249	-7.58212	4.72963	0.003854208	0.0009913873	3.65605	0.155672	89.5176	2102.38	0.592221	0.407779
93	-2.83728	-7.73058	4.89331	0.003854208	0.0009913873	3.08291	0.155672	106.16	2102.38	0.445382	0.554618
94	-2.06182	-7.5269	5.46508	0.003854208	0.0009913873	2.22845	0.267317	146.864	1224.32	0.652644	0.347356
95	-3.386	-7.79088	4.40488	0.003854208	0.0009913873	4.60628	0.85664	71.0509	382.052	0.391698	0.608302
96	-4.04859	-7.36499	3.3164	0.003854208	0.0009913873	10.3723	0.682987	31.5534	479.19	0.850307	0.149693
97	-6.41597	-8.10151	1.68553	0.003854208	0.0009913873	20.8685	0.61782	15.683	529.734	0.161064	0.838936
98	-6.6589	-7.51369	0.854783	0.003854208	0.0009913873	27.4505	0.515443	11.9226	634.95	0.6676	0.3324
